Maker Wise Calendar Year Data  For All State (),,,,,,,
S No,                      Maker                       ,Calendar Year ,,,,,     TOTAL     
1962,SHREE KRISHNA ENTERPRISE,2,0,0,0,0,2
1963,SHREE KULDEVI AGRO INDUSTRIES,13,0,0,0,0,13
1964,SHREE MAHALAXMI AGRO WORKS,8,0,0,0,0,8
1965,SHREE MARUT E-AGROTECH PVT LTD,1,2,0,0,0,3
1966,SHREE MARUTI NANDAN BUSINESSS (P) LTD,76,138,308,182,18,722
1967,SHREE MOMAI TRAILER,0,0,0,2,7,9
1968,SHREE NARAYAN EQUIPMENTS PVT LTD,0,0,0,0,8,8
1969,SHREE PRABHAT AGRO INDUSTRIES,7,0,0,0,0,7
1970,SHREE RADHE ENGINEERING BARGARH STATION ROAD,1,0,0,0,0,1
1971,SHREE RAM AGRO INDUSTRIES,36,1,0,0,0,37
1972,SHREE RAM ENGINEERING WORKS,4,0,0,0,0,4
1973,SHREE SAI AGRO ENGINEERING WORKS,2,23,64,74,40,203
1974,SHREE SHAKTI AGRO INDIA,0,0,0,1,14,15
1975,SHREE SHAKTI AUTO IND,0,0,0,1,2,3
1976,SHREE SHYAM AGRO PRODUCTS BARGARH RAILWAY STATION,9,2,0,0,0,11
1977,SHREE SHYAM AGROTECH,0,0,0,0,34,34
