Maker Wise Calendar Year Data  For All State (),,,,,,,
S No,                      Maker                       ,Calendar Year ,,,,,     TOTAL     
2359,VANDANA TRAILORS AND BODY MFG PVT LTD,0,0,12,5,18,35
2360,VANI ELECTRIC VEHICLES PVT LTD,"3,299","7,821","7,832","5,969","3,924","28,845"
2361,VARANI RAJ ESTATE MANAGEMENT,0,0,0,0,1,1
2362,VARUN INDUSTRIES,1,0,0,2,5,8
2363,VAS AGRO SERVICES,0,0,0,0,3,3
2364,VASANT FABRICATORS PVT LTD,1,0,0,0,0,1
2365,VASHAN AGRICULTURE WORKS,9,8,27,22,27,93
2366,VEANCO AUTOMOTIVES PVT LTD,0,3,11,6,2,22
2367,VE COMMERCIAL VEHICLES LTD,"51,607","75,303","74,557","59,177","41,181","3,01,825"
2368,VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),411,577,246,105,29,"1,368"
2369,VECTRA ADVANCED ENGINEERING (P) LTD,0,2,0,9,39,50
2370,VEECTERO E VEHICLES LLP,31,91,171,132,24,449
2371,VEERA VAHANA UDYOG PRIVATE LIMITED,4,16,18,0,3,41
2372,VEERA VIDYUTH VAHANA PVT LTD,37,13,0,0,0,50
2373,VEERBHADRA ENGINEERING WORKS,12,31,25,3,0,71
2374,VEHICLE FACTORY JABALPUR,12,39,11,75,13,150
2375,VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),98,3,0,0,0,101
2376,VENKATESHWARA ENGINEERING WORK,24,67,40,17,11,159
2377,VENKATESHWAR AGRO INDUSTRIES,1,3,9,9,31,53
2378,VENUS AUTO WHEELS PVT LTD,330,440,574,398,329,"2,071"
2379,VENUS EQUIPMENT,92,144,91,53,27,407
2380,VENUS TECHNO EQUIPMENT PVT LTD,4,0,0,0,0,4
2381,VERT EQUIPMENT PVT LTD,16,26,31,8,0,81
2382,VGLAN BUILDCON PRIVATE LIMITED,0,0,0,0,27,27
2383,VGLAN BUILDCON PVT LTD,0,0,0,0,1,1
2384,VICTORIA E VEHICLES PVT. LTD,0,2,25,10,3,40
2385,VICTORY ELECTRIC INTERNATIONAL,"1,146","2,343","3,321","2,148","1,256","10,214"
2386,VIDARBHA TRAILERS,5,38,43,6,20,112
2387,VIJAYA ELECTRIC AUTO PVT LTD,65,224,256,193,35,773
2388,VIJAY AGRICULTURAL INDUSTRIES,0,0,9,2,6,17
2389,VIJAYA INDUSTRIES,0,0,21,66,171,258
2390,VIJAYALAKSHIMI ENGG WORKS,2,2,2,14,136,156
2391,VIJAYALAKSHMI INDUSTRIES,0,1,5,4,3,13
2392,VIJAYA LAKSHMI INDUSTRY BARGARH RAILWAY STATION,2,0,0,0,0,2
2393,VIJAY ENGINEERING WORKS,3,0,17,114,161,295
2394,VIJAYLAXMI AUTO GARAGE MALKANGIRI KUMUTIGUDA,3,1,0,0,0,4
2395,VIJAYLAXMI ENGINEERING,0,5,17,0,0,22
2396,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,"3,255","5,219","4,807","1,355",26,"14,662"
2397,VIJAYSHREE AUTOCOM LIMITED,30,191,181,248,67,717
2398,VIJAY TROLLY WORKS,4,0,0,0,0,4
2399,VIJEX STEEL FABRICATION,152,73,11,0,0,236
2400,VIKAS AGRO INDUSTRIES,0,1,2,4,13,20
2401,VIKAS ENGG WORKS,1,0,0,0,0,1
2402,VIKASH ENGINEERING WORKS,0,4,0,0,0,4
2403,VIKASH TRAILERS,2,1,0,0,0,3
2404,VIKAS TRAILORS BODY BUILDING WORKS AP213154392,0,2,0,0,0,2
2405,VIKRANT ENGINEERING,20,67,70,99,103,359
2406,VIKRANT ENGINEERS TRAILOR CUTTACK KHAPURIA,27,5,0,0,0,32
2407,VIMAL INDUSTRIES,0,0,0,0,2,2
2408,VIMAL UNIVERSAL TRADE PVT LTD,"1,105","1,209",831,407,130,"3,682"
2409,VINA ENGINEERING WORKS,6,13,26,24,44,113
2410,VINCI INDUSTRIAL CORPORATION,23,74,39,9,12,157
2411,VINTAGE VEHICLES,21,48,465,601,824,"1,959"
2412,VIRAT MOTOCORP,10,0,0,0,0,10
2413,VISAKHA AUTO GRAGE AP203572501,4,0,0,0,0,4
2414,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,1,22,92,2,0,117
2415,VISHAL AGRICULTURAL WORKS,25,25,34,23,26,133
2416,VISHAL ENTERPRISES,335,78,36,140,103,692
2417,VISHAVKARMA AGRO INDUSTRIES,0,0,0,2,9,11
2418,VISHAVKARMA ENGINEERING WORKS,446,380,241,149,121,"1,337"
2419,VISHVAS TRACTORS LTD.,0,0,4,3,2,9
2420,VISHWAKARMA AGRICULTURE UDHYOG,8,74,137,86,16,321
2421,VISHWAKARMA GNG INDUSTRY,151,207,123,6,3,490
2422,VISHWARUP ENTERPRISE,1,2,10,2,0,15
2423,VISHWAS AGRO IND.,1,0,0,0,0,1
2424,VISHWA SANJAY TRAILOR,4,0,0,0,0,4
2425,VISHWAS AUTOMOBILES LLP,16,24,0,0,0,40
2426,VISHWAS EQUIPMENT,0,0,1,1,1,3
2427,VISWAKARMA AGRO INDUSTRIES,13,6,5,6,2,32
2428,"VISWANATH INDUSTRIES,BBSR",2,36,48,46,91,223
2429,VISWANATH INDUSTRIES BBSR LAXMISAGAR,22,16,0,0,0,38
2430,VITAN JAGADA AUTOMOBILE PVT LTD,0,5,3,2,0,10
2431,VIVEK ENGG. WORKS,72,0,0,0,0,72
2432,VIVEK MOTORS,32,5,0,0,0,37
2433,VMP CONCRETE EQUIPMENTS PVT LTD,6,6,1,0,7,20
2434,VMT INDUSTRIES,142,9,0,0,0,151
2435,VMT INDUSTRIES PVT LTD,16,252,219,156,71,714
2436,VOLKSWAGEN AG,126,1,1,32,"1,386","1,546"
2437,VOLKSWAGEN INDIA PVT LTD,7,3,13,345,355,723
2438,VOLTAS LIMITED,1,21,33,37,72,164
2439,VOLTEXPRESS INDUSTRIES,53,0,0,0,0,53
2440,VOLVO,6,2,0,0,0,8
2441,VOLVO AUTO INDIA PVT LTD,941,"1,861","2,120","1,606","1,351","7,879"
2442,VOLVO CE INDIA PRIVATE LIMITED,440,538,569,501,459,"2,507"
2443,"""VOLVO GROUP INDIA PVT LTD""",595,930,"1,179","1,023",800,"4,527"
2444,VOLVO GROUP TRUCKS CENTRAL EUROPE GMBH,3,1,3,0,0,7
2445,VOLVO TRUCKS CORPORATION,1,4,9,2,0,16
2446,VORC MOTORS PVT LTD,86,9,0,0,0,95
2447,VRINDA ENTERPRISES,599,"1,296","1,080",446,113,"3,534"
2448,V R WELDING WORKS,1,2,0,1,7,11
2449,VSL INDUSTRIES,0,1,0,7,44,52
2450,VST MOTER INDIA COMPANY,2,0,2,0,0,4
2451,V S TRAILERS,0,1,0,3,6,10
2452,V.S.T. TILLERS TRACTORS LIMITED,"1,718","3,215","4,658","5,241","6,054","20,886"
2453,VST TILLER TRACTOR LTD,0,2,0,1,1,4
2454,VST ZETOR PVT LTD,83,23,0,0,0,106
2455,VTECH MOTORS,3,0,0,0,0,3
2456,V.T. ENGINEERING,0,14,9,59,59,141
2457,V.V.A.AUTO INDUSTRIES PVT.LTD,0,5,26,72,78,181
2458,WAKEN MULTITECH PVT LTD,2,4,0,1,19,26
2459,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,"3,211","10,944","6,910",314,0,"21,379"
2460,WARIVO MOTOR INDIA PVT LTD,308,118,1,0,0,427
2461,WASAN E-MOBILITY SOLUTIONS PVT LTD,3,23,80,13,0,119
2462,WASIM MEERA ENGG WORKS,0,4,18,75,44,141
2463,WELCOME E RICKSHAW,0,0,0,0,2,2
2464,WELKIN HEALTHCARE PVT LTD,2,29,30,114,22,197
2465,WHITE CARBON MOTORS PVT LTD,23,22,42,82,21,190
2466,WILLYS INDIA LTD,8,1,2,6,3,20
2467,WIRTGEN INDIA PVT LTD,335,530,429,340,490,"2,124"
2468,WISENT INFRATECH LLP,19,23,32,16,11,101
2469,WOX COOLERS PVT LTD,1,2,2,1,0,6
2470,WUHAN LOTUS (IMPORTER: EXCLUSIVE MOTORS PVT LTD),2,0,0,0,0,2
2471,WUXI DAYANG ELECTRIC (IMPORTER: ABZO MOTORS),72,0,0,0,0,72
2472,WUXI DAYANG (IMPORTER: MOVAENERGY PRIVATE LIMITED),6,0,0,0,0,6
2473,WUXI DONGMA (IMPORTER: DYNAM PRECISION),3,6,15,6,0,30
2474,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),60,99,275,2,0,436
2475,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),13,95,4,0,0,112
2476,WUXI MDKA NEW ENERGY (IMPORTER: HESTUR ENERGY),2,0,0,0,0,2
2477,WUXI NOOMA (IMPORTER: KKL HITECH EV),0,1,0,0,0,1
2478,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),2,8,10,0,0,20
2479,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),8,133,182,4,1,328
2480,WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),0,3,54,6,0,63
2481,WUXI SAIGE (IMPORTER: CITIZEN CARE),1,0,0,0,0,1
2482,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),3,38,68,0,0,109
2483,WUXI SAIGE (IMPORTER: ELECTRO-TECH),0,9,8,0,0,17
2484,WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),0,4,15,12,0,31
2485,WUXI SAIGE (IMPORTER: KKL HITECH EV),7,3,0,0,0,10
2486,WUXI SAIGE (IMPORTER: NGAGE IMPEX),3,16,2,0,0,21
2487,WUXI SAIGE (IMPORTER: WARIVO MOTOR),52,332,428,3,0,815
2488,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),1,26,4,0,0,31
2489,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),32,74,1,0,0,107
2490,WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),1,52,0,0,0,53
2491,WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),0,6,37,0,0,43
2492,WUXI TENGHUI (IMPORTER: CAL-ON INDUSTRIES),17,25,4,0,0,46
2493,WUXI TENGHUI (IMPORTER: FEZORA INDIA),3,21,35,0,0,59
2494,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),58,211,72,0,0,341
2495,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),4,31,22,0,0,57
2496,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),9,198,389,0,0,596
2497,WUXI TENGHUI (IMPORTER: JAIDKA POWER),2,26,8,0,0,36
2498,WUXI TENGHUI (IMPORTER: JOZHI SERVICES),81,132,0,0,0,213
2499,WUXI TENGHUI (IMPORTER: NXTMOBILITY ENERGY),1,0,0,0,0,1
2500,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),9,10,2,0,0,21
2501,WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),0,6,12,0,0,18
2502,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),62,254,278,15,0,609
2503,WUXI TENGHUI (IMPORTER: SUSHAMA MOTORS),18,0,0,0,0,18
2504,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),1,20,17,0,0,38
2505,WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),0,13,12,0,0,25
2506,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),17,339,316,0,0,672
2507,WUXI YIZHILING (IMPORTER: BMR EV INDUSTRIES),12,0,0,0,0,12
2508,WUXI YIZHILING (IMPORTER: HOMFEEL VEGH),116,40,0,0,0,156
2509,XCMG CONSTRUCTION MACHINERY CO. LTD.,10,13,1,6,4,34
2510,XIDAA MOTO PVT LTD,1,1,0,0,0,2
2511,XPLORE AUTOMOTIVE PVT LTD,0,0,2,0,0,2
2512,"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",107,207,157,91,245,807
2513,XUZHOU CONSTRUCTION MACHINERY MANUFACTURING (IND),176,34,0,0,0,210
2514,XXPLORE AUTOMATIVE PVT LTD,0,0,2,12,1,15
2515,XXPLORE AUTOMOTIVE PVT. LIMITED,0,0,6,15,39,60
2516,XYZ1,104,358,134,57,0,653
2517,XYZ2,7,53,8,7,0,75
2518,YAARI AUTOMOBILES PVT LTD,120,188,3,1,58,370
2519,YADEA TECHNOLOGY (IMPORTER: YULU BIKES),500,11,0,0,0,511
2520,YAGYAPRIYAA CONSTRUCTION EQUIPMENT INDIA PVT LTD,2,10,13,4,6,35
2521,YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),0,1,16,25,0,42
2522,YANGGUANG LINGMU (IMPORTER: DURGA FILTERS),0,0,9,1,0,10
2523,YANGGUANG LINGMU (IMPORTER: ECOINDIA),0,1,4,0,0,5
2524,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),26,119,61,0,0,206
2525,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),0,13,27,13,0,53
2526,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),1,13,11,0,0,25
2527,YANMAR CONST EQUIP CO,0,0,0,1,0,1
2528,YASH AGRO ENGINEERING WORKS,8,9,17,13,15,62
2529,YC ELECTRIC VEHICLE,"25,724","43,977","40,814","30,135","15,949","1,56,599"
2530,YC ELECTRIC VEHICLE PVT LTD,0,0,21,128,83,232
2531,YESH TRAILER,2,1,0,1,42,46
2532,YEZDI MOTORS LTD,1,0,0,0,0,1
2533,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),31,178,82,0,0,291
2534,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),19,266,218,0,0,503
2535,YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),11,26,0,0,0,37
2536,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),3,77,36,0,0,116
2537,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),6,46,20,0,0,72
2538,YOUYAKU ELECTRIC (IMPORTER: POWORO PVT LTD),21,0,0,0,0,21
2539,YOUYAKU ELECTRIC (IMPORTER:RIVALDO ELECTRIC),1,0,0,0,0,1
2540,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),28,127,80,0,0,235
2541,YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),36,15,0,0,0,51
2542,YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),34,72,0,0,0,106
2543,YOUYAKU ELECTRIC (IMPORTER: TES ELECTRIC),2,0,0,0,0,2
2544,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),2,19,2,0,0,23
2545,YOUYAKU ELECTRIC TECHNOLOGY (IMPORTER:JHEV MOTORS),2,0,0,0,0,2
2546,YUVRAJ AGRICULTURE WORKS,0,0,0,1,0,1
2547,YUVRAJ INTERNATIONAL,3,5,0,5,4,17
2548,ZAKWILL ELECTRIC VEHICLES PVT LTD,7,0,0,0,0,7
2549,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),16,69,128,35,0,248
2550,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),5,8,32,0,0,45
2551,ZBEE INDIA PVT LTD,0,0,0,0,1,1
2552,ZELIO AUTO PVT LTD,321,45,0,0,0,366
2553,ZENIAK INNOVATION INDIA LTD,"5,575","6,544","2,836","1,562",931,"17,448"
2554,ZENMO PRIVATE LIMITED,836,"1,002",1,0,0,"1,839"
2555,ZENTHIUM EV PVT LTD,567,"1,156",720,224,122,"2,789"
2556,ZEOPLUS AXIS INDIA PVT. LTD.,"4,495","6,727","3,563",386,0,"15,171"
2557,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,31,79,11,3,0,124
2558,ZESAR MOTORS PVT LTD,14,78,37,23,15,167
2559,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),79,31,70,10,0,190
2560,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),61,135,260,90,0,546
2561,ZHEJIANG GEELY AUTOMOBILE COMPANY LTD,0,0,0,0,2,2
2562,ZHEJIANG LANGXIANG (IMPORTER: ROUTE AUTO ELECTRIC),0,0,0,1,0,1
2563,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),7,16,45,22,0,90
2564,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),21,38,21,8,0,88
2565,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),117,240,86,0,0,443
2566,ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),0,7,64,0,0,71
2567,ZHONGHUALONG (IMPORTER: POWORO PVT LTD),126,124,0,0,0,250
2568,ZHONGXING (IMPORTER:GREENO AUTOMOBILE),1,9,0,0,0,10
2569,ZOHAN TRADERS AND BIG METRO,222,183,131,5,0,541
2570,ZOOMLION INDIA PVT LTD,114,163,169,146,44,636
2571,ZOOM MOTORS PVT LTD,0,0,0,0,3,3
2572,ZUBEDA TROLLY REPAIRING WORKS,0,36,40,0,0,76
