Maker,Year,Registrations,YoY_pct
A K GUPTA & CO.,2023,563,30.02
A K GUPTA & CO.,2024,685,21.67
A K GUPTA & CO.,2025,543,-20.73
A K S ENG AGRO INDUSTRIES,2021,11,
A K S ENG AGRO INDUSTRIES,2022,6,-45.45
A K S ENG AGRO INDUSTRIES,2023,25,316.67
A K S ENG AGRO INDUSTRIES,2024,20,-20.0
A K S ENG AGRO INDUSTRIES,2025,13,-35.0
A N ENTERPRISES,2021,0,
A N ENTERPRISES,2022,0,
A N ENTERPRISES,2023,0,
A N ENTERPRISES,2024,0,
A N ENTERPRISES,2025,71,inf
A P I MOTORS PVT LTD,2021,253,
A P I MOTORS PVT LTD,2022,837,230.83
A P I MOTORS PVT LTD,2023,1134,35.48
A P I MOTORS PVT LTD,2024,599,-47.18
A P I MOTORS PVT LTD,2025,493,-17.7
A R AGRO TECH,2021,0,
A R AGRO TECH,2022,0,
A R AGRO TECH,2023,2,inf
A R AGRO TECH,2024,11,450.0
A R AGRO TECH,2025,5,-54.55
A-1 SUREJA INDUSTRIES,2021,0,
A-1 SUREJA INDUSTRIES,2022,0,
A-1 SUREJA INDUSTRIES,2023,1,inf
A-1 SUREJA INDUSTRIES,2024,8,700.0
A-1 SUREJA INDUSTRIES,2025,2,-75.0
A.B. AGRO ENGINEERING WORKS,2021,0,
A.B. AGRO ENGINEERING WORKS,2022,0,
A.B. AGRO ENGINEERING WORKS,2023,0,
A.B. AGRO ENGINEERING WORKS,2024,10,inf
A.B. AGRO ENGINEERING WORKS,2025,10,0.0
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,2021,0,
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,2022,0,
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,2023,0,
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,2024,2,inf
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,2025,5,150.0
A.J ENTERPRISES,2021,0,
A.J ENTERPRISES,2022,0,
A.J ENTERPRISES,2023,0,
A.J ENTERPRISES,2024,166,inf
A.J ENTERPRISES,2025,129,-22.29
A.K.AUTO ELECTRICAL,2021,0,
A.K.AUTO ELECTRICAL,2022,0,
A.K.AUTO ELECTRICAL,2023,0,
A.K.AUTO ELECTRICAL,2024,0,
A.K.AUTO ELECTRICAL,2025,1,inf
A.R. MOTOR,2021,0,
A.R. MOTOR,2022,0,
A.R. MOTOR,2023,0,
