Maker,Year,Registrations,YoY_pct
CHALAM FORM EQUPMENTS,2021,0,
CHALAM FORM EQUPMENTS,2022,1,inf
CHALAM FORM EQUPMENTS,2023,0,-100.0
CHALAM FORM EQUPMENTS,2024,0,
CHALAM FORM EQUPMENTS,2025,0,
CHAMPION POLY PLAST,2021,6677,
CHAMPION POLY PLAST,2022,13267,98.7
CHAMPION POLY PLAST,2023,14879,12.15
CHAMPION POLY PLAST,2024,11200,-24.73
CHAMPION POLY PLAST,2025,5175,-53.79
CHAMUNDA MECHANICLE WORKS,2021,0,
CHAMUNDA MECHANICLE WORKS,2022,0,
CHAMUNDA MECHANICLE WORKS,2023,0,
CHAMUNDA MECHANICLE WORKS,2024,0,
CHAMUNDA MECHANICLE WORKS,2025,10,inf
CHANDAKE-AUTOMOBILES LLP,2021,0,
CHANDAKE-AUTOMOBILES LLP,2022,0,
CHANDAKE-AUTOMOBILES LLP,2023,0,
CHANDAKE-AUTOMOBILES LLP,2024,145,inf
CHANDAKE-AUTOMOBILES LLP,2025,148,2.07
CHANDANA CORPORATION,2021,133,
CHANDANA CORPORATION,2022,426,220.3
CHANDANA CORPORATION,2023,501,17.61
CHANDANA CORPORATION,2024,164,-67.27
CHANDANA CORPORATION,2025,58,-64.63
CHANGZHOU YEFEND VEHICLE CO,2021,0,
CHANGZHOU YEFEND VEHICLE CO,2022,2,inf
CHANGZHOU YEFEND VEHICLE CO,2023,0,-100.0
CHANGZHOU YEFEND VEHICLE CO,2024,0,
CHANGZHOU YEFEND VEHICLE CO,2025,0,
CHANNY AGRO INDUSTRIES,2021,9,
CHANNY AGRO INDUSTRIES,2022,11,22.22
CHANNY AGRO INDUSTRIES,2023,15,36.36
CHANNY AGRO INDUSTRIES,2024,14,-6.67
CHANNY AGRO INDUSTRIES,2025,6,-57.14
CHARDI KALAN AGRO INDUSTRIES,2021,1,
CHARDI KALAN AGRO INDUSTRIES,2022,0,-100.0
CHARDI KALAN AGRO INDUSTRIES,2023,0,
CHARDI KALAN AGRO INDUSTRIES,2024,0,
CHARDI KALAN AGRO INDUSTRIES,2025,0,
CHARUVIKRAM AUTOMOBILE PVT LTD,2021,22,
CHARUVIKRAM AUTOMOBILE PVT LTD,2022,6,-72.73
CHARUVIKRAM AUTOMOBILE PVT LTD,2023,6,0.0
CHARUVIKRAM AUTOMOBILE PVT LTD,2024,0,-100.0
CHARUVIKRAM AUTOMOBILE PVT LTD,2025,0,
CHATUR BHAI ENGG WORKS,2021,2,
CHATUR BHAI ENGG WORKS,2022,0,-100.0
CHATUR BHAI ENGG WORKS,2023,0,
CHATUR BHAI ENGG WORKS,2024,0,
CHATUR BHAI ENGG WORKS,2025,0,
CHAUHAN AUTO INDUSTRIES,2021,118,
CHAUHAN AUTO INDUSTRIES,2022,406,244.07
CHAUHAN AUTO INDUSTRIES,2023,571,40.64
CHAUHAN AUTO INDUSTRIES,2024,603,5.6
CHAUHAN AUTO INDUSTRIES,2025,321,-46.77
CHEHAK BATTERIES,2021,63,
CHEHAK BATTERIES,2022,223,253.97
CHEHAK BATTERIES,2023,290,30.04
CHEHAK BATTERIES,2024,386,33.1
CHEHAK BATTERIES,2025,201,-47.93
CHETAK TECHNOLOGY LIMITED,2021,0,
CHETAK TECHNOLOGY LIMITED,2022,0,
CHETAK TECHNOLOGY LIMITED,2023,4852,inf
CHETAK TECHNOLOGY LIMITED,2024,4,-99.92
CHETAK TECHNOLOGY LIMITED,2025,0,-100.0
CHEVROLET SALES INDIA PVT LTD,2021,1,
CHEVROLET SALES INDIA PVT LTD,2022,2,100.0
CHEVROLET SALES INDIA PVT LTD,2023,1,-50.0
CHEVROLET SALES INDIA PVT LTD,2024,1,0.0
CHEVROLET SALES INDIA PVT LTD,2025,0,-100.0
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2021,0,
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2022,0,
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2023,136,inf
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2024,336,147.06
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2025,133,-60.42
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2021,0,
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2022,0,
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2023,0,
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2024,23,inf
CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2025,18,-21.74
CHITRA MANUFACTURERS LLP,2021,0,
CHITRA MANUFACTURERS LLP,2022,0,
CHITRA MANUFACTURERS LLP,2023,0,
CHITRA MANUFACTURERS LLP,2024,0,
CHITRA MANUFACTURERS LLP,2025,17,inf
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,2021,0,
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,2022,0,
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,2023,2,inf
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,2024,1,-50.0
CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,2025,0,-100.0
CHRYSLER MOTORS PVT LTD,2021,0,
CHRYSLER MOTORS PVT LTD,2022,0,
CHRYSLER MOTORS PVT LTD,2023,2,inf
CHRYSLER MOTORS PVT LTD,2024,0,-100.0
CHRYSLER MOTORS PVT LTD,2025,0,
CIMMCO LIMITED,2021,2,
CIMMCO LIMITED,2022,1,-50.0
CIMMCO LIMITED,2023,1,0.0
CIMMCO LIMITED,2024,0,-100.0
CIMMCO LIMITED,2025,0,
CITADEL ENTERPRISES(OPC) PVT LTD,2021,28,
CITADEL ENTERPRISES(OPC) PVT LTD,2022,36,28.57
CITADEL ENTERPRISES(OPC) PVT LTD,2023,28,-22.22
CITADEL ENTERPRISES(OPC) PVT LTD,2024,12,-57.14
CITADEL ENTERPRISES(OPC) PVT LTD,2025,6,-50.0
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2021,586,
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2022,827,41.13
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2023,930,12.45
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2024,552,-40.65
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2025,168,-69.57
CIVIMEC ENGINEERING PVT LTD,2021,10,
CIVIMEC ENGINEERING PVT LTD,2022,3,-70.0
CIVIMEC ENGINEERING PVT LTD,2023,6,100.0
CIVIMEC ENGINEERING PVT LTD,2024,6,0.0
CIVIMEC ENGINEERING PVT LTD,2025,3,-50.0
CLAAS AGRICULTURAL MACHINERY PVT LTD,2021,2,
CLAAS AGRICULTURAL MACHINERY PVT LTD,2022,0,-100.0
CLAAS AGRICULTURAL MACHINERY PVT LTD,2023,1,inf
CLAAS AGRICULTURAL MACHINERY PVT LTD,2024,0,-100.0
CLAAS AGRICULTURAL MACHINERY PVT LTD,2025,0,
CLAAS INDIA P LTD,2021,98,
CLAAS INDIA P LTD,2022,106,8.16
CLAAS INDIA P LTD,2023,90,-15.09
CLAAS INDIA P LTD,2024,100,11.11
CLAAS INDIA P LTD,2025,10,-90.0
CLASSIC (INDIA) MOTORS,2021,2,
CLASSIC (INDIA) MOTORS,2022,0,-100.0
CLASSIC (INDIA) MOTORS,2023,0,
CLASSIC (INDIA) MOTORS,2024,1,inf
CLASSIC (INDIA) MOTORS,2025,0,-100.0
CLASSIC LEGENDS PVT LTD,2021,27794,
CLASSIC LEGENDS PVT LTD,2022,40969,47.4
CLASSIC LEGENDS PVT LTD,2023,33146,-19.09
CLASSIC LEGENDS PVT LTD,2024,33006,-0.42
CLASSIC LEGENDS PVT LTD,2025,16889,-48.83
CLENERGY INNOVATIONS PVT LTD,2021,0,
CLENERGY INNOVATIONS PVT LTD,2022,0,
CLENERGY INNOVATIONS PVT LTD,2023,0,
CLENERGY INNOVATIONS PVT LTD,2024,4,inf
CLENERGY INNOVATIONS PVT LTD,2025,3,-25.0
CNH INDUSTRIAL (INDIA) PVT LTD,2021,26585,
CNH INDUSTRIAL (INDIA) PVT LTD,2022,28149,5.88
CNH INDUSTRIAL (INDIA) PVT LTD,2023,35315,25.46
CNH INDUSTRIAL (INDIA) PVT LTD,2024,36055,2.1
CNH INDUSTRIAL (INDIA) PVT LTD,2025,23854,-33.84
COMETTO TRAILER,2021,13,
COMETTO TRAILER,2022,2,-84.62
COMETTO TRAILER,2023,0,-100.0
COMETTO TRAILER,2024,28,inf
COMETTO TRAILER,2025,30,7.14
CONMAT HEAVY INDUSTRIES PVT LTD,2021,36,
CONMAT HEAVY INDUSTRIES PVT LTD,2022,52,44.44
CONMAT HEAVY INDUSTRIES PVT LTD,2023,111,113.46
CONMAT HEAVY INDUSTRIES PVT LTD,2024,202,81.98
CONMAT HEAVY INDUSTRIES PVT LTD,2025,142,-29.7
CONTINENTAL ENGINES PVT LTD,2021,3354,
CONTINENTAL ENGINES PVT LTD,2022,5682,69.41
CONTINENTAL ENGINES PVT LTD,2023,5175,-8.92
CONTINENTAL ENGINES PVT LTD,2024,760,-85.31
CONTINENTAL ENGINES PVT LTD,2025,56,-92.63
CONVENIENT MACHINES PVT LTD,2021,0,
CONVENIENT MACHINES PVT LTD,2022,0,
CONVENIENT MACHINES PVT LTD,2023,0,
CONVENIENT MACHINES PVT LTD,2024,9,inf
CONVENIENT MACHINES PVT LTD,2025,23,155.56
CORONA BUS MANUFACTURERS (P) LTD.,2021,4,
CORONA BUS MANUFACTURERS (P) LTD.,2022,0,-100.0
CORONA BUS MANUFACTURERS (P) LTD.,2023,0,
CORONA BUS MANUFACTURERS (P) LTD.,2024,0,
CORONA BUS MANUFACTURERS (P) LTD.,2025,0,
COVAI GREEN RIDE,2021,0,
COVAI GREEN RIDE,2022,0,
COVAI GREEN RIDE,2023,0,
COVAI GREEN RIDE,2024,4,inf
COVAI GREEN RIDE,2025,12,200.0
CRANE KRAFT INDIA PRIVATE LIMITED,2021,0,
CRANE KRAFT INDIA PRIVATE LIMITED,2022,78,inf
CRANE KRAFT INDIA PRIVATE LIMITED,2023,134,71.79
CRANE KRAFT INDIA PRIVATE LIMITED,2024,238,77.61
CRANE KRAFT INDIA PRIVATE LIMITED,2025,208,-12.61
CREATIVE ENGINEERINGS,2021,3,
CREATIVE ENGINEERINGS,2022,0,-100.0
CREATIVE ENGINEERINGS,2023,1,inf
CREATIVE ENGINEERINGS,2024,1,0.0
CREATIVE ENGINEERINGS,2025,1,0.0
CROMA ENTERPRISES,2021,3,
CROMA ENTERPRISES,2022,0,-100.0
CROMA ENTERPRISES,2023,0,
CROMA ENTERPRISES,2024,0,
CROMA ENTERPRISES,2025,0,
CUBE AUTO INDUSTRIES,2021,0,
CUBE AUTO INDUSTRIES,2022,0,
CUBE AUTO INDUSTRIES,2023,0,
CUBE AUTO INDUSTRIES,2024,2,inf
CUBE AUTO INDUSTRIES,2025,1,-50.0
CUBE AUTO INDUSTRIES BNGLORE,2021,2,
CUBE AUTO INDUSTRIES BNGLORE,2022,0,-100.0
CUBE AUTO INDUSTRIES BNGLORE,2023,0,
CUBE AUTO INDUSTRIES BNGLORE,2024,1,inf
CUBE AUTO INDUSTRIES BNGLORE,2025,0,-100.0
CYRUS AUTO INDUSTRIES PVT LTD,2021,7,
CYRUS AUTO INDUSTRIES PVT LTD,2022,24,242.86
CYRUS AUTO INDUSTRIES PVT LTD,2023,96,300.0
CYRUS AUTO INDUSTRIES PVT LTD,2024,47,-51.04
CYRUS AUTO INDUSTRIES PVT LTD,2025,7,-85.11
D K DIESELS PVT LTD,2021,2,
D K DIESELS PVT LTD,2022,7,250.0
D K DIESELS PVT LTD,2023,5,-28.57
D K DIESELS PVT LTD,2024,4,-20.0
D K DIESELS PVT LTD,2025,12,200.0
D S INDUSTRIES,2021,31,
D S INDUSTRIES,2022,46,48.39
D S INDUSTRIES,2023,32,-30.43
D S INDUSTRIES,2024,2,-93.75
D S INDUSTRIES,2025,18,800.0
D.K. MOTORS,2021,0,
D.K. MOTORS,2022,0,
D.K. MOTORS,2023,0,
D.K. MOTORS,2024,7,inf
D.K. MOTORS,2025,1,-85.71
D.S NAMDHARI ENGINEERS,2021,0,
D.S NAMDHARI ENGINEERS,2022,0,
D.S NAMDHARI ENGINEERS,2023,0,
D.S NAMDHARI ENGINEERS,2024,0,
D.S NAMDHARI ENGINEERS,2025,8,inf
DABASIYA LOADERS,2021,0,
DABASIYA LOADERS,2022,0,
DABASIYA LOADERS,2023,0,
DABASIYA LOADERS,2024,6,inf
DABASIYA LOADERS,2025,9,50.0
DADGURU TRAILORS AND ENGINEERING WORKS,2021,3,
DADGURU TRAILORS AND ENGINEERING WORKS,2022,3,0.0
DADGURU TRAILORS AND ENGINEERING WORKS,2023,0,-100.0
DADGURU TRAILORS AND ENGINEERING WORKS,2024,0,
DADGURU TRAILORS AND ENGINEERING WORKS,2025,0,
DAEWOO MOTORS INDIA LTD,2021,3,
DAEWOO MOTORS INDIA LTD,2022,0,-100.0
DAEWOO MOTORS INDIA LTD,2023,0,
DAEWOO MOTORS INDIA LTD,2024,0,
DAEWOO MOTORS INDIA LTD,2025,0,
DAIMLER AG,2021,130,
DAIMLER AG,2022,16,-87.69
DAIMLER AG,2023,4,-75.0
DAIMLER AG,2024,22,450.0
DAIMLER AG,2025,1,-95.45
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2021,12776,
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2022,15592,22.04
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2023,21105,35.36
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2024,21075,-0.14
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2025,13225,-37.25
DAKSH INDUSTRIES,2021,1125,
DAKSH INDUSTRIES,2022,3225,186.67
DAKSH INDUSTRIES,2023,5925,83.72
DAKSH INDUSTRIES,2024,7141,20.52
DAKSH INDUSTRIES,2025,4323,-39.46
DALIAN FORKLIFT CO.,2021,13,
DALIAN FORKLIFT CO.,2022,5,-61.54
DALIAN FORKLIFT CO.,2023,0,-100.0
DALIAN FORKLIFT CO.,2024,1,inf
DALIAN FORKLIFT CO.,2025,0,-100.0
DALIP SINGH & SONS,2021,9,
DALIP SINGH & SONS,2022,33,266.67
DALIP SINGH & SONS,2023,7,-78.79
DALIP SINGH & SONS,2024,0,-100.0
DALIP SINGH & SONS,2025,0,
DAO EVTECH PRIVATE LIMITED,2021,0,
DAO EVTECH PRIVATE LIMITED,2022,102,inf
DAO EVTECH PRIVATE LIMITED,2023,283,177.45
DAO EVTECH PRIVATE LIMITED,2024,80,-71.73
DAO EVTECH PRIVATE LIMITED,2025,4,-95.0
DASHMESH AGRICULTURE WORKS,2021,10,
DASHMESH AGRICULTURE WORKS,2022,3,-70.0
DASHMESH AGRICULTURE WORKS,2023,0,-100.0
DASHMESH AGRICULTURE WORKS,2024,0,
DASHMESH AGRICULTURE WORKS,2025,0,
DASHMESH MECH WORKS PVT LTD,2021,83,
DASHMESH MECH WORKS PVT LTD,2022,67,-19.28
DASHMESH MECH WORKS PVT LTD,2023,3,-95.52
DASHMESH MECH WORKS PVT LTD,2024,1,-66.67
DASHMESH MECH WORKS PVT LTD,2025,0,-100.0
DASHMESH TRADERS,2021,55,
DASHMESH TRADERS,2022,83,50.91
DASHMESH TRADERS,2023,123,48.19
DASHMESH TRADERS,2024,149,21.14
DASHMESH TRADERS,2025,90,-39.6
DASMESH AGRICULTURAL INDUSTRIES PVT LTD,2021,17,
DASMESH AGRICULTURAL INDUSTRIES PVT LTD,2022,10,-41.18
DASMESH AGRICULTURAL INDUSTRIES PVT LTD,2023,4,-60.0
DASMESH AGRICULTURAL INDUSTRIES PVT LTD,2024,1,-75.0
DASMESH AGRICULTURAL INDUSTRIES PVT LTD,2025,0,-100.0
DASMESH AGRICULTURE WORKS,2021,64,
DASMESH AGRICULTURE WORKS,2022,38,-40.62
DASMESH AGRICULTURE WORKS,2023,34,-10.53
DASMESH AGRICULTURE WORKS,2024,25,-26.47
DASMESH AGRICULTURE WORKS,2025,25,0.0
DASMESH AGRO INDUSTRIES,2021,0,
DASMESH AGRO INDUSTRIES,2022,0,
DASMESH AGRO INDUSTRIES,2023,0,
DASMESH AGRO INDUSTRIES,2024,1,inf
DASMESH AGRO INDUSTRIES,2025,1,0.0
DASMESH MECHANICAL WORKS PVT.LTD,2021,434,
DASMESH MECHANICAL WORKS PVT.LTD,2022,311,-28.34
DASMESH MECHANICAL WORKS PVT.LTD,2023,419,34.73
DASMESH MECHANICAL WORKS PVT.LTD,2024,468,11.69
DASMESH MECHANICAL WORKS PVT.LTD,2025,522,11.54
DAVE EXIM PVT LTD,2021,285,
DAVE EXIM PVT LTD,2022,243,-14.74
DAVE EXIM PVT LTD,2023,311,27.98
DAVE EXIM PVT LTD,2024,227,-27.01
DAVE EXIM PVT LTD,2025,123,-45.81
DD AUTO PVT LTD,2021,8,
DD AUTO PVT LTD,2022,13,62.5
DD AUTO PVT LTD,2023,2,-84.62
DD AUTO PVT LTD,2024,0,-100.0
DD AUTO PVT LTD,2025,0,
DE EUSI MOTORS PVT LTD.,2021,345,
DE EUSI MOTORS PVT LTD.,2022,720,108.7
DE EUSI MOTORS PVT LTD.,2023,1563,117.08
DE EUSI MOTORS PVT LTD.,2024,1978,26.55
DE EUSI MOTORS PVT LTD.,2025,1560,-21.13
DEBU AUTOMOBILES,2021,0,
DEBU AUTOMOBILES,2022,0,
DEBU AUTOMOBILES,2023,0,
DEBU AUTOMOBILES,2024,9,inf
DEBU AUTOMOBILES,2025,12,33.33
DECCAN AUTO LTD,2021,1,
DECCAN AUTO LTD,2022,0,-100.0
DECCAN AUTO LTD,2023,0,
DECCAN AUTO LTD,2024,0,
DECCAN AUTO LTD,2025,0,
DEEP DRAWN TECHNOLOGIES,2021,3,
DEEP DRAWN TECHNOLOGIES,2022,4,33.33
DEEP DRAWN TECHNOLOGIES,2023,12,200.0
DEEP DRAWN TECHNOLOGIES,2024,30,150.0
DEEP DRAWN TECHNOLOGIES,2025,30,0.0
DEEP FABRICATORS,2021,0,
DEEP FABRICATORS,2022,0,
DEEP FABRICATORS,2023,0,
DEEP FABRICATORS,2024,0,
DEEP FABRICATORS,2025,8,inf
DEEP JYOTI ENG PVT LTD,2021,3,
DEEP JYOTI ENG PVT LTD,2022,2,-33.33
DEEP JYOTI ENG PVT LTD,2023,0,-100.0
DEEP JYOTI ENG PVT LTD,2024,0,
DEEP JYOTI ENG PVT LTD,2025,0,
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,2021,0,
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,2022,0,
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,2023,0,
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,2024,5,inf
DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,2025,15,200.0
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",2021,4,
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",2022,14,250.0
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",2023,22,57.14
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",2024,20,-9.09
"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",2025,1,-95.0
DELTA AUTOCORP LTD,2021,755,
DELTA AUTOCORP LTD,2022,1334,76.69
DELTA AUTOCORP LTD,2023,2465,84.78
DELTA AUTOCORP LTD,2024,1874,-23.98
DELTA AUTOCORP LTD,2025,628,-66.49
DELTEK ENTERPRISES PVT LTD,2021,0,
DELTEK ENTERPRISES PVT LTD,2022,1,inf
DELTEK ENTERPRISES PVT LTD,2023,8,700.0
DELTEK ENTERPRISES PVT LTD,2024,31,287.5
DELTEK ENTERPRISES PVT LTD,2025,12,-61.29
DEMAG AC 300,2021,0,
DEMAG AC 300,2022,0,
DEMAG AC 300,2023,1,inf
DEMAG AC 300,2024,0,-100.0
DEMAG AC 300,2025,0,
DEMAG DEMAG HC 340,2021,27,
DEMAG DEMAG HC 340,2022,17,-37.04
DEMAG DEMAG HC 340,2023,20,17.65
DEMAG DEMAG HC 340,2024,2,-90.0
DEMAG DEMAG HC 340,2025,0,-100.0
DEMAGE MOTORS LTD,2021,5,
DEMAGE MOTORS LTD,2022,2,-60.0
DEMAGE MOTORS LTD,2023,1,-50.0
DEMAGE MOTORS LTD,2024,0,-100.0
DEMAGE MOTORS LTD,2025,0,
DESMOTO ELECTRICS PVT LTD,2021,30,
DESMOTO ELECTRICS PVT LTD,2022,1,-96.67
DESMOTO ELECTRICS PVT LTD,2023,0,-100.0
DESMOTO ELECTRICS PVT LTD,2024,0,
DESMOTO ELECTRICS PVT LTD,2025,0,
DEV AGRICULTURE INDUSTRIES,2021,1,
DEV AGRICULTURE INDUSTRIES,2022,0,-100.0
DEV AGRICULTURE INDUSTRIES,2023,0,
DEV AGRICULTURE INDUSTRIES,2024,0,
DEV AGRICULTURE INDUSTRIES,2025,0,
DEV AGRO INDUSTRIES,2021,31,
DEV AGRO INDUSTRIES,2022,17,-45.16
DEV AGRO INDUSTRIES,2023,9,-47.06
DEV AGRO INDUSTRIES,2024,8,-11.11
DEV AGRO INDUSTRIES,2025,8,0.0
DEV ENGINEERING WORKS,2021,110,
DEV ENGINEERING WORKS,2022,143,30.0
DEV ENGINEERING WORKS,2023,27,-81.12
DEV ENGINEERING WORKS,2024,48,77.78
DEV ENGINEERING WORKS,2025,64,33.33
DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,2021,0,
DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,2022,0,
DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,2023,0,
DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,2024,1,inf
DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,2025,0,-100.0
DEV MOTORS,2021,0,
DEV MOTORS,2022,0,
DEV MOTORS,2023,0,
DEV MOTORS,2024,1095,inf
DEV MOTORS,2025,1779,62.47
DEVAM ELECTRIC VEHICLES PVT LTD,2021,0,
DEVAM ELECTRIC VEHICLES PVT LTD,2022,0,
DEVAM ELECTRIC VEHICLES PVT LTD,2023,12,inf
DEVAM ELECTRIC VEHICLES PVT LTD,2024,149,1141.67
DEVAM ELECTRIC VEHICLES PVT LTD,2025,95,-36.24
DEVANGI ENG..,2021,4,
DEVANGI ENG..,2022,92,2200.0
DEVANGI ENG..,2023,154,67.39
DEVANGI ENG..,2024,201,30.52
DEVANGI ENG..,2025,116,-42.29
DEVCHHAYA MOTORS,2021,0,
DEVCHHAYA MOTORS,2022,0,
DEVCHHAYA MOTORS,2023,0,
DEVCHHAYA MOTORS,2024,4,inf
DEVCHHAYA MOTORS,2025,12,200.0
DEVI ENGG WORKS AP235530181,2021,0,
DEVI ENGG WORKS AP235530181,2022,0,
DEVI ENGG WORKS AP235530181,2023,0,
DEVI ENGG WORKS AP235530181,2024,0,
DEVI ENGG WORKS AP235530181,2025,5,inf
DEVI ENGINEERING WORKS,2021,6,
DEVI ENGINEERING WORKS,2022,5,-16.67
DEVI ENGINEERING WORKS,2023,7,40.0
DEVI ENGINEERING WORKS,2024,6,-14.29
DEVI ENGINEERING WORKS,2025,5,-16.67
DEWAN AGRICULTURE WORKS,2021,4,
DEWAN AGRICULTURE WORKS,2022,10,150.0
DEWAN AGRICULTURE WORKS,2023,17,70.0
DEWAN AGRICULTURE WORKS,2024,40,135.29
DEWAN AGRICULTURE WORKS,2025,34,-15.0
DHANALAKSHMI ENGINEERING WORKS,2021,37,
DHANALAKSHMI ENGINEERING WORKS,2022,25,-32.43
DHANALAKSHMI ENGINEERING WORKS,2023,28,12.0
DHANALAKSHMI ENGINEERING WORKS,2024,16,-42.86
DHANALAKSHMI ENGINEERING WORKS,2025,2,-87.5
DHANALAXMI ENGINEERING PURI CHARINALA,2021,0,
DHANALAXMI ENGINEERING PURI CHARINALA,2022,0,
DHANALAXMI ENGINEERING PURI CHARINALA,2023,0,
DHANALAXMI ENGINEERING PURI CHARINALA,2024,4,inf
DHANALAXMI ENGINEERING PURI CHARINALA,2025,17,325.0
DHANAVENKAT ENGG.WORKS,2021,11,
DHANAVENKAT ENGG.WORKS,2022,9,-18.18
DHANAVENKAT ENGG.WORKS,2023,2,-77.78
DHANAVENKAT ENGG.WORKS,2024,1,-50.0
DHANAVENKAT ENGG.WORKS,2025,0,-100.0
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,2021,0,
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,2022,0,
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,2023,0,
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,2024,6,inf
DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,2025,13,116.67
DHANLAXMI FABRICATORS,2021,0,
DHANLAXMI FABRICATORS,2022,0,
DHANLAXMI FABRICATORS,2023,1,inf
DHANLAXMI FABRICATORS,2024,3,200.0
DHANLAXMI FABRICATORS,2025,9,200.0
DHANNLAXMI AUTOWORKS,2021,3,
DHANNLAXMI AUTOWORKS,2022,4,33.33
DHANNLAXMI AUTOWORKS,2023,0,-100.0
DHANNLAXMI AUTOWORKS,2024,1,inf
DHANNLAXMI AUTOWORKS,2025,0,-100.0
DHAR IN PVT LTD,2021,0,
DHAR IN PVT LTD,2022,0,
DHAR IN PVT LTD,2023,29,inf
DHAR IN PVT LTD,2024,101,248.28
DHAR IN PVT LTD,2025,122,20.79
DHAR INTERNATIONAL,2021,141,
DHAR INTERNATIONAL,2022,104,-26.24
DHAR INTERNATIONAL,2023,34,-67.31
DHAR INTERNATIONAL,2024,29,-14.71
DHAR INTERNATIONAL,2025,1,-96.55
DHARMPAL ENTERPRISES,2021,0,
DHARMPAL ENTERPRISES,2022,0,
DHARMPAL ENTERPRISES,2023,0,
DHARMPAL ENTERPRISES,2024,3,inf
DHARMPAL ENTERPRISES,2025,68,2166.67
DHARMRAJ AGRO IND.,2021,2,
DHARMRAJ AGRO IND.,2022,2,0.0
DHARMRAJ AGRO IND.,2023,1,-50.0
DHARMRAJ AGRO IND.,2024,0,-100.0
DHARMRAJ AGRO IND.,2025,0,
DHARTI AGRICULTURE WORKS,2021,0,
DHARTI AGRICULTURE WORKS,2022,0,
DHARTI AGRICULTURE WORKS,2023,0,
DHARTI AGRICULTURE WORKS,2024,0,
DHARTI AGRICULTURE WORKS,2025,2,inf
DHIMAN AGRICULTURAL WORKS,2021,2,
DHIMAN AGRICULTURAL WORKS,2022,6,200.0
DHIMAN AGRICULTURAL WORKS,2023,0,-100.0
DHIMAN AGRICULTURAL WORKS,2024,0,
DHIMAN AGRICULTURAL WORKS,2025,0,
DHIMAN AGRICULTURE,2021,10,
DHIMAN AGRICULTURE,2022,14,40.0
DHIMAN AGRICULTURE,2023,14,0.0
DHIMAN AGRICULTURE,2024,22,57.14
DHIMAN AGRICULTURE,2025,12,-45.45
DHIMAN AGRICULTURE WORKS,2021,12,
DHIMAN AGRICULTURE WORKS,2022,8,-33.33
DHIMAN AGRICULTURE WORKS,2023,7,-12.5
DHIMAN AGRICULTURE WORKS,2024,9,28.57
DHIMAN AGRICULTURE WORKS,2025,11,22.22
DHIMAN AGRO INDUSTRIES,2021,1,
DHIMAN AGRO INDUSTRIES,2022,7,600.0
DHIMAN AGRO INDUSTRIES,2023,1,-85.71
DHIMAN AGRO INDUSTRIES,2024,2,100.0
DHIMAN AGRO INDUSTRIES,2025,0,-100.0
