S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1565,VIJAY TROLLY WORKS,0,3,0,0,0,1,0,0,4
1566,VIJEX STEEL FABRICATION,27,28,14,28,19,12,19,5,152
1567,VIKAS ENGG WORKS,0,0,0,0,0,0,0,1,1
1568,VIKASH TRAILERS,0,0,0,0,0,0,2,0,2
1569,VIKRANT ENGINEERING,15,2,1,1,1,0,0,0,20
1570,VIKRANT ENGINEERS TRAILOR CUTTACK KHAPURIA,3,4,5,5,2,2,6,0,27
1571,VIMAL UNIVERSAL TRADE PVT LTD,144,156,146,163,193,132,122,49,1105
1572,VINA ENGINEERING WORKS,1,1,3,1,0,0,0,0,6
1573,VINCI INDUSTRIAL CORPORATION,5,3,0,4,0,5,5,1,23
1574,VINTAGE VEHICLES,3,1,0,4,4,3,4,2,21
1575,VIRAT MOTOCORP,0,0,0,2,7,0,1,0,10
1576,VISAKHA AUTO GRAGE AP203572501,0,0,0,0,0,0,2,2,4
1577,VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,1,0,1
1578,VISHAL AGRICULTURAL WORKS,0,2,3,3,2,8,7,0,25
1579,VISHAL ENTERPRISES,46,78,76,64,20,23,25,3,335
1580,VISHAVKARMA ENGINEERING WORKS,116,128,126,38,6,8,18,6,446
1581,VISHWAKARMA AGRICULTURE UDHYOG,0,7,0,1,0,0,0,0,8
1582,VISHWAKARMA GNG INDUSTRY,5,8,7,30,44,32,19,6,151
1583,VISHWARUP ENTERPRISE,0,0,1,0,0,0,0,0,1
1584,VISHWAS AGRO IND.,0,0,0,1,0,0,0,0,1
1585,VISHWA SANJAY TRAILOR,0,0,2,0,0,0,2,0,4
1586,VISHWAS AUTOMOBILES LLP,4,0,2,2,1,4,2,1,16
1587,VISWAKARMA AGRO INDUSTRIES,1,1,2,3,2,1,2,1,13
1588,"VISWANATH INDUSTRIES,BBSR",0,2,0,0,0,0,0,0,2
1589,VISWANATH INDUSTRIES BBSR LAXMISAGAR,4,3,6,4,2,2,1,0,22
1590,VIVEK ENGG. WORKS,0,1,2,5,20,18,21,5,72
1591,VIVEK MOTORS,2,2,2,13,8,1,2,2,32
1592,VMP CONCRETE EQUIPMENTS PVT LTD,0,0,1,1,2,2,0,0,6
1593,VMT INDUSTRIES,17,21,31,17,11,20,16,9,142
1594,VMT INDUSTRIES PVT LTD,12,1,0,1,2,0,0,0,16
1595,VOLKSWAGEN AG,0,0,21,0,13,39,40,13,126
1596,VOLKSWAGEN INDIA PVT LTD,0,2,2,1,1,0,1,0,7
1597,VOLTAS LIMITED,1,0,0,0,0,0,0,0,1
1598,VOLTEXPRESS INDUSTRIES,0,0,5,5,24,13,5,1,53
1599,VOLVO,1,2,2,0,0,0,1,0,6
1600,VOLVO AUTO INDIA PVT LTD,164,99,158,133,121,101,129,36,941
1601,VOLVO CE INDIA PRIVATE LIMITED,63,54,81,57,63,103,14,5,440
1602,"""VOLVO GROUP INDIA PVT LTD""",122,39,50,132,43,61,114,34,595
1603,VOLVO GROUP TRUCKS CENTRAL EUROPE GMBH,0,0,1,0,2,0,0,0,3
1604,VOLVO TRUCKS CORPORATION,0,0,0,0,0,1,0,0,1
1605,VORC MOTORS PVT LTD,3,8,15,9,18,19,5,9,86
1606,VRINDA ENTERPRISES,100,65,87,54,95,90,89,19,599
1607,V R WELDING WORKS,0,1,0,0,0,0,0,0,1
1608,VST MOTER INDIA COMPANY,0,0,2,0,0,0,0,0,2
1609,V.S.T. TILLERS TRACTORS LIMITED,327,217,252,186,165,185,289,97,1718
1610,VST ZETOR PVT LTD,6,11,6,10,16,10,21,3,83
1611,VTECH MOTORS,0,0,1,0,0,0,0,2,3
1612,WAKEN MULTITECH PVT LTD,0,0,2,0,0,0,0,0,2
1613,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,504,401,422,388,459,465,436,136,3211
1614,WARIVO MOTOR INDIA PVT LTD,42,26,42,23,65,37,55,18,308
1615,WASAN E-MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,2,0,1,3
1616,WELKIN HEALTHCARE PVT LTD,0,1,0,1,0,0,0,0,2
1617,WHITE CARBON MOTORS PVT LTD,19,0,0,0,0,0,4,0,23
1618,WILLYS INDIA LTD,3,0,1,1,1,1,1,0,8
1619,WIRTGEN INDIA PVT LTD,60,38,59,69,45,37,21,6,335
1620,WISENT INFRATECH LLP,2,0,7,2,3,5,0,0,19
1621,WOX COOLERS PVT LTD,0,1,0,0,0,0,0,0,1
1622,WUHAN LOTUS (IMPORTER: EXCLUSIVE MOTORS PVT LTD),0,0,0,0,0,2,0,0,2
1623,WUXI DAYANG ELECTRIC (IMPORTER: ABZO MOTORS),9,12,5,3,12,14,13,4,72
1624,WUXI DAYANG (IMPORTER: MOVAENERGY PRIVATE LIMITED),0,6,0,0,0,0,0,0,6
1625,WUXI DONGMA (IMPORTER: DYNAM PRECISION),0,0,1,0,0,0,2,0,3
1626,WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),2,10,17,11,9,2,7,2,60
1627,WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),0,1,1,3,4,3,1,0,13
1628,WUXI MDKA NEW ENERGY (IMPORTER: HESTUR ENERGY),0,0,0,0,0,0,0,2,2
1629,WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),0,0,0,0,2,0,0,0,2
1630,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),3,0,1,2,2,0,0,0,8
1631,WUXI SAIGE (IMPORTER: CITIZEN CARE),0,0,0,1,0,0,0,0,1
1632,WUXI SAIGE (IMPORTER: DM GREEN ENERGY),1,1,0,0,0,0,1,0,3
1633,WUXI SAIGE (IMPORTER: KKL HITECH EV),2,3,0,0,0,1,1,0,7
1634,WUXI SAIGE (IMPORTER: NGAGE IMPEX),1,0,2,0,0,0,0,0,3
1635,WUXI SAIGE (IMPORTER: WARIVO MOTOR),23,10,4,1,3,4,4,3,52
1636,WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),0,0,0,0,1,0,0,0,1
1637,WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),5,10,0,0,4,3,5,5,32
1638,WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),1,0,0,0,0,0,0,0,1
1639,WUXI TENGHUI (IMPORTER: CAL-ON INDUSTRIES),7,6,2,1,0,1,0,0,17
1640,WUXI TENGHUI (IMPORTER: FEZORA INDIA),0,0,0,0,0,2,1,0,3
1641,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),18,6,6,12,5,8,3,0,58
1642,WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),2,1,0,1,0,0,0,0,4
1643,WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),1,2,1,0,3,2,0,0,9
1644,WUXI TENGHUI (IMPORTER: JAIDKA POWER),1,0,0,1,0,0,0,0,2
1645,WUXI TENGHUI (IMPORTER: JOZHI SERVICES),9,25,22,6,8,3,8,0,81
1646,WUXI TENGHUI (IMPORTER: NXTMOBILITY ENERGY),0,1,0,0,0,0,0,0,1
1647,WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),0,3,4,1,0,1,0,0,9
1648,WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),12,14,7,11,2,10,3,3,62
1649,WUXI TENGHUI (IMPORTER: SUSHAMA MOTORS),0,0,5,4,4,0,5,0,18
1650,WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),0,0,0,1,0,0,0,0,1
1651,WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),6,1,0,2,3,1,3,1,17
1652,WUXI YIZHILING (IMPORTER: BMR EV INDUSTRIES),0,1,0,1,3,1,5,1,12
1653,WUXI YIZHILING (IMPORTER: HOMFEEL VEGH),0,40,2,38,36,0,0,0,116
1654,XCMG CONSTRUCTION MACHINERY CO. LTD.,2,2,1,1,0,3,1,0,10
1655,XIDAA MOTO PVT LTD,1,0,0,0,0,0,0,0,1
1656,"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",18,15,28,8,7,29,1,1,107
1657,XUZHOU CONSTRUCTION MACHINERY MANUFACTURING (IND),11,10,14,19,20,77,13,12,176
1658,XYZ1,32,8,12,12,16,10,12,2,104
1659,XYZ2,2,2,1,0,0,0,0,2,7
1660,YAARI AUTOMOBILES PVT LTD,18,12,24,15,23,13,5,10,120
1661,YADEA TECHNOLOGY (IMPORTER: YULU BIKES),106,50,100,0,198,43,3,0,500
1662,YAGYAPRIYAA CONSTRUCTION EQUIPMENT INDIA PVT LTD,0,0,1,0,0,1,0,0,2
1663,YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),5,3,6,0,0,3,8,1,26
1664,YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),1,0,0,0,0,0,0,0,1
1665,YASH AGRO ENGINEERING WORKS,1,0,3,1,1,2,0,0,8
1666,YC ELECTRIC VEHICLE,3880,3372,3451,3367,3683,3304,3632,1035,25724
1667,YESH TRAILER,1,0,0,0,0,1,0,0,2
1668,YEZDI MOTORS LTD,0,0,0,0,0,0,1,0,1
1669,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),6,14,4,3,1,2,1,0,31
1670,YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),1,2,7,1,1,2,4,1,19
1671,YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),3,3,2,0,0,0,3,0,11
1672,YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),0,2,1,0,0,0,0,0,3
1673,YOUYAKU ELECTRIC (IMPORTER:ONZO EV),1,0,0,2,2,0,1,0,6
1674,YOUYAKU ELECTRIC (IMPORTER: POWORO PVT LTD),0,0,0,2,6,2,9,2,21
1675,YOUYAKU ELECTRIC (IMPORTER:RIVALDO ELECTRIC),0,0,0,0,1,0,0,0,1
1676,YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),2,5,2,4,4,4,3,4,28
1677,YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),0,0,0,0,35,1,0,0,36
1678,YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),6,3,1,4,8,6,4,2,34
1679,YOUYAKU ELECTRIC (IMPORTER: TES ELECTRIC),0,1,0,0,0,0,1,0,2
1680,YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),0,2,0,0,0,0,0,0,2
1681,YOUYAKU ELECTRIC TECHNOLOGY (IMPORTER:JHEV MOTORS),2,0,0,0,0,0,0,0,2
1682,YUVRAJ INTERNATIONAL,0,1,0,0,0,2,0,0,3
1683,ZAKWILL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,5,0,2,7
1684,ZAP (HK) (IMPORTER: IZANAU ELECTRIC),2,0,2,2,1,3,6,0,16
1685,ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),4,0,0,1,0,0,0,0,5
1686,ZELIO AUTO PVT LTD,33,38,49,43,50,44,53,11,321
1687,ZENIAK INNOVATION INDIA LTD,817,670,758,696,780,748,920,186,5575
1688,ZENMO PRIVATE LIMITED,141,244,111,1,190,58,29,62,836
1689,ZENTHIUM EV PVT LTD,58,79,91,95,77,84,70,13,567
1690,ZEOPLUS AXIS INDIA PVT. LTD.,632,545,605,678,564,659,642,170,4495
1691,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,8,3,8,5,3,1,1,2,31
1692,ZESAR MOTORS PVT LTD,2,1,5,0,4,1,1,0,14
1693,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),1,4,9,10,15,8,19,13,79
1694,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),9,8,2,7,9,10,14,2,61
1695,ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),1,1,1,0,0,2,2,0,7
1696,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),1,3,5,3,3,3,2,1,21
1697,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),18,22,13,10,20,17,15,2,117
1698,ZHONGHUALONG (IMPORTER: POWORO PVT LTD),15,16,17,27,16,16,18,1,126
1699,ZHONGXING (IMPORTER:GREENO AUTOMOBILE),1,0,0,0,0,0,0,0,1
1700,ZOHAN TRADERS AND BIG METRO,13,28,19,53,40,36,26,7,222
1701,ZOOMLION INDIA PVT LTD,10,12,24,17,12,24,13,2,114
