S No,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1038,SAI TRAILERS,1,0,1,0,1,0,0,0,2,2,3,0,10
1039,SAJEDA ENGINEERING BHAWANIPATNA,1,0,0,0,0,1,0,2,1,2,1,0,8
1040,SAKSHAM TECH AUTOMOBILES,18,8,25,15,10,19,13,21,12,15,7,12,175
1041,SAKSHAM TRADING COMPANY,2,2,0,0,0,0,0,0,0,0,0,0,4
1042,SAMALESWARI ENGG WORKS,0,2,0,1,0,1,0,0,0,1,0,0,5
1043,"SAMAL FABRICATOR,BARCHANA",2,3,3,3,1,2,0,0,1,1,0,2,18
1044,SAME DEUTZ - FAHR INDIA (P) LTD.,82,89,99,58,99,164,77,81,43,78,49,55,974
1045,SAMEER ENGINEERING,0,0,0,0,0,0,0,2,0,0,0,3,5
1046,SAMRAT ELECTRIC VEHICLE,38,29,37,47,29,64,73,96,84,56,59,65,677
1047,"SAMRAT MOTORS, BHUBANESWAR",0,0,0,0,0,1,0,0,0,0,0,0,1
1048,S AND J INDUSTRIES,21,9,18,19,3,16,10,6,7,5,5,7,126
1049,"S AND S ENGG WORKS,BGH",0,0,0,0,0,0,0,0,0,0,1,0,1
1050,SANSAR COMBINE,0,0,3,1,0,0,0,0,0,0,0,0,4
1051,SANTOSH ENGG WORKS,6,18,9,4,20,0,15,11,4,0,8,0,95
1052,SANY HEAVY INDUSTRY INDIA PVT LTD,28,36,29,32,28,20,29,37,40,37,31,35,382
1053,SANY HEAVY INT. LTD. PR C,2,0,0,0,0,0,0,0,0,0,0,0,2
1054,SANY INDIA,0,0,5,0,0,0,0,0,0,0,0,0,5
1055,SARALA ENTERPRISES CUTTACK,0,0,0,0,0,1,0,1,0,0,0,0,2
1056,"SARASWATI AGRO INDUSTRIES,CTC",1,3,6,2,2,2,4,3,2,1,3,0,29
1057,SARAVANA ENGINEERING WORKS,0,1,0,29,22,50,91,3,6,0,1,1,204
